0.26323,0.91197
0.41924,0.01921
0.22889,0.037778
0.19513,0.084398
0.86935,0.68302
0.77073,0.74011
0.71931,0.66581
0.21411,0.3753
0.84222,0.52406
0.77692,0.17787
0.46424,0.75217
0.69538,0.1301
0.55238,0.72253
0.050506,0.11845
0.33903,0.29162
0.14722,0.60801
0.29355,0.82159
0.36478,0.056969
0.61013,0.97233
0.018445,0.78366
0.90993,0.41265
0.95722,0.33052
0.66946,0.35712
0.64706,0.22741
0.44258,0.42773
0.89203,0.46665
0.5144,0.88253
0.1123,0.84505
0.82286,0.64924
0.54344,0.3064
0.37997,0.8625
0.59927,0.488
0.076779,0.25238
0.15674,0.98475
0.93778,0.93456
0.98554,0.52851
0.74407,0.57986
0.038529,0.56058
0.30092,0.17043
0.48633,0.219
